tender_id;ikn;adi;idare_adi;il;ihale_turu;karar;kaynak;set
3b3c069891b89161b561162773bec2aafa67d96f88152686333d8d27da9d8172;2025/2207672;EKB Sinyalizasyon Projesi Teknik Binalarına Kurulum Dahil CCTV Sistemi Malzeme Alımı İşi;TCDD 7. BÖLGE MÜDÜRLÜĞÜ;AFYONKARAHİSAR;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
528e2ff645a017a1c1396c4f6c5b946ba251af848b70e70aecc6f0837f03c165;2026/565668;Fiber Optik Ağ Altyapısı Kurulum ve Devreye Alma Hizmet Alımı İşi;ARNAVUTKÖY BELEDİYE BAŞKANLIĞI AKILLI ŞEHİR VE KENT BİLGİ SİSTEMLERİ MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
2e948a2f79417e30a58bcf5a1bcdb79dc3fdb647805ebb43adf6a994560636ca;2026/491428;Ermenek HES İşletme Müdürlüğü Kamera Sisteminin Rehabilitasyonu ve İzleme Merkezinin Kurulması;HİDROLİK SANTRALLAR DAİRE BAŞKANLIĞI ERMENEK HES İŞLETME MÜDÜRLÜĞÜ;KARAMAN;Yapım;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
06988eb65e6edbee51d8823ffffa8701ec25cdb9dbc8fa5e1338c42581a70ea1;2026/704248;Ermenek HES İşletme Müdürlüğü Kamera Sisteminin Rehabilitasyonu ve İzleme Merkezinin Kurulması;HİDROLİK SANTRALLAR DAİRE BAŞKANLIĞI ERMENEK HES İŞLETME MÜDÜRLÜĞÜ;KARAMAN;Yapım;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
3f674f150a8507ea9bf1f6fd5266e60bfa517aa5a2fc29ab4b43ea6aefc33c1c;2026/623668;Trafik Düzenlemesi ve Hibrit Sinyalizasyon Yapılması Yapım İşi;KİLİS BELEDİYE BAŞKANLIĞI;KİLİS;Yapım;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
9ecc8d579f8c40e330d517cc2417be778ac00fe603f06e19a0eac556130774b5;2025/2348817;CCTV Haberleşme, Kontrol ve Kent İzleme Merkezi Sistemi Alım ve Kurulum işi;TURHAL BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ MÜDÜRLÜĞÜ;TOKAT;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
40793d72562a7779a8fd20cac2220cd2f1a6d66da93119da317dfe92765b728b;2026/44588;Trafik İzleme Merkezine Yönelik Fiber Optik Altyapı Veri İletim ve Entegrasyon Yapım İşi;BATMAN BELEDİYE BAŞKANLIĞI ULAŞIM HİZMETLERİ MÜDÜRLÜĞÜ;BATMAN;Yapım;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
6d511bb3a1fe27dfef6836897228295d9e0545cf6e94fb77153a96d4c3e70069;2026/119835;Yapay Zeka Destekli Şehir İkizi Platformu Kurulumu İşi;BAĞCILAR BELEDİYESİ Bilgi İşlem Müdürlüğü;İSTANBUL;Hizmet;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
6100a7f33e44ac918608c3dba970bf36902d90c4c93c6cd61343805cebe45de9;2026/195002;TRAFİK IŞIĞI VE SİNYALİZASYON MALZEMESİ;KARAMAN BELEDİYESİ ULAŞIM HİZMETLERİ MÜDÜRLÜĞÜ;KARAMAN;Mal;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
4fa9e7bb08f63e9253d7464f5d6ba788d7e7d4e8674e4b915ec8548340adb9b1;2026/256696;CAD VE GIS UYGULAMALARI LİSANS GÜNCELLEMELERİ VE YERİNDE TEKNİK DESTEK;AVCILAR BELEDİYESİ BİLGİ İŞLEM MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun;qwen3_8b_SADECE_UYGUN_gozden_gecir.csv onay=evet;kacirma
