tender_id;ikn;adi;idare_adi;il;ihale_turu;karar;ilgi_skoru;eslesen_paket;gerekce;set
a28530391eb88d8664160e3e5c308ce03fb882dc27a347c8dfb2f2ce4de6d832;2025/2196999;DİNAMİK KAVŞAK KONTROL SİSTEMİ MODERNİZASYONU;MALATYA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI - İHALE İŞLERİ ŞUBE MÜDÜRLÜĞÜ;MALATYA;Mal;uygun;0.95;Trafik Sinyalizasyon Sistemleri;"İhale doğrudan kavşak kontrol cihazı/sistemi modernizasyonu; İSBAK'ın 1986'dan beri temel faaliyet alanı olan trafik sinyalizasyon ve kavşak kontrol cihazı üretim/kurulum işiyle birebir örtüşüyor.";final
8702ecf5fa5b68f8d94aac5f2575030b6b039b3598f1ff18c939696da05dbd4f;2026/516330;BURSA KENTİÇİ TRAFİK SİNYALİZASYON SİSTEMLERİ VE ADAPTİF KAVŞAK SİSTEMLERİNİN YAPIM, BAKIM VE REVİZYONU İŞİ;BURSA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI İHALE ŞUBE MÜDÜRLÜĞÜ;BURSA;Yapım;uygun;0.97;Trafik Sinyalizasyon Sistemleri;"Kentiçi trafik sinyalizasyon ve adaptif kavşak sistemlerinin yapım-bakım-revizyonu; İSBAK'ın çekirdek iş tanımıyla (trafik sinyalizasyon + akıllı kavşak) tam örtüşen büyük ölçekli bir yapım işi.";ayar
a825298cc4739ce6a1643581b9df301825e2d3b1a7b6748299dd5eb69836f07a;2026/387763;İstanbul Geneli Sinyalizasyon Sistemlerinin Bakım-Onarım Ve Revizyon İşi;İSTANBUL BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI ULAŞIM DAİRESİ BAŞKANLIĞI TRAFİK ŞUBE MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun;0.98;Trafik Sinyalizasyon Sistemleri;"İBB Trafik Şube Müdürlüğü'nün açtığı, İstanbul geneli sinyalizasyon sistemlerinin bakım-onarım ve revizyonu hizmeti; İSBAK zaten İBB'ye bağlı olup bu tam olarak kurumun rutin iş alanı.";ayar
097c71fc30012e78a19534bfc47e4e796fdf9051dbf12420314caf03a379687d;2025/2150020;Karayolları 12 (Erzurum) Bölge Müdürlüğü Akıllı Ulaşım Sistemleri Merkezi Tesis Edilmesi İşi;KARAYOLLARI GENEL MÜDÜRLÜĞÜ PROGRAM VE İZLEME DAİRESİ BAŞKANLIĞI;ANKARA;Yapım;uygun;0.85;Akıllı Ulaşım Sistemleri (ITS) — Trafik Yönetimi;"Karayolları Genel Müdürlüğü'nün akıllı ulaşım sistemleri merkezi kurulumu; idare İBB dışı olsa da iş tanımı (ITS merkezi tesisi) İSBAK'ın uzmanlık alanına teknik olarak tam uyuyor.";ayar
0a7adccd3fbe61d3ea5c27f5cdb8d41002176ed34dbadd599e156f29a39d4f97;2026/1170244;Elektronik Denetleme Sistemi (EDS) Bakım, Onarım ve İşletilmesi İşi;ADANA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI SATIN ALMA DAİRESİ BAŞKANLIĞI;ADANA;Hizmet;uygun;0.95;Elektronik Denetleme Sistemleri (EDS);"Elektronik Denetleme Sistemi (EDS) bakım, onarım ve işletilmesi hizmeti; İSBAK'ın EDS (hız/kırmızı ışık/park ihlali tespiti) faaliyet alanıyla doğrudan örtüşüyor.";final
2d638cb2d7907658175f8a64dcb590139f9fa2f48cf8612ab2621e182ebee2a9;2026/820933;Akıllı Ulaşım Sistemlerinin Bakım Onarımı İle Ulaşım Yönetim Merkezi, Eds Kontrol Merkezi Ve Mobil Eds Araçlarının İşletilmesi İşi;İSTANBUL BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI ULAŞIM DAİRESİ BAŞKANLIĞI TRAFİK ŞUBE MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;uygun;0.98;Akıllı Ulaşım Sistemleri (ITS) — Trafik Yönetimi;"İBB'nin akıllı ulaşım sistemleri bakım-onarımı + ulaşım yönetim merkezi + EDS kontrol merkezi + mobil EDS araçlarının işletilmesini kapsayan geniş kapsamlı hizmet; birden fazla İSBAK iş paketiyle (ITS ve EDS) aynı anda örtüşen en güçlü örnek.";ayar
af04b4ca964c054002c998e5a780b37a6cd991ffb30b4a1394cdf2cc427fb5fd;2026/845570;Akıllı Ulaşım Sistemleri Saha Unsurları Tedarik, Montaj ve Demontaj Hizmeti;KOCAELİ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI İHALE İŞLERİ ŞUBE MÜDÜRLÜĞÜ;KOCAELİ;Hizmet;uygun;0.9;Akıllı Ulaşım Sistemleri (ITS) — Trafik Yönetimi;"Akıllı ulaşım sistemleri saha unsurlarının (sensör, kamera, sinyalizasyon ekipmanı vb. muhtemel) tedarik, montaj ve demontaj hizmeti; ITS saha uygulamaları İSBAK'ın doğrudan uzmanlık alanı.";final
1915f06fdf2afcfeb323a393276785ba76788d32ea297e828aeb8c389301cd85;2026/1103179;Yapay Zeka Destekli Adaptif Kavşak Yönetim Sistemi Kurulması ve İdare Malı Mevcut Trafik Kotnrol Merkezine Entegrasyon Yapımı;TEKİRDAĞ BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI;TEKİRDAĞ;Yapım;uygun;0.92;Trafik Sinyalizasyon Sistemleri;"Yapay zeka destekli adaptif kavşak yönetim sistemi kurulumu ve mevcut trafik kontrol merkezine entegrasyonu; akıllı kavşak + trafik kontrol merkezi entegrasyonu İSBAK'ın hem sinyalizasyon hem ITS iş paketlerine giriyor.";ayar
0eb97ffff187a25d468b8dceb419fcacc1bbfbab49e0a20d35e4d1a294dc02a1;2026/76662;Akıllı Şehir Yönetim Platformu Hizmet Alım İşi;ARNAVUTKÖY BELEDİYE BAŞKANLIĞI AKILLI ŞEHİR VE KENT BİLGİ SİSTEMLERİ MÜDÜRLÜĞÜ;İSTANBUL;Hizmet;belirsiz;0.5;Akıllı Şehir / Akıllı Kent Teknolojileri (Genel);"İSBAK'ın güncel unvanı ""Akıllı Kent Teknolojileri"" olduğundan başlık uyumlu görünüyor, ancak ilan metninde platformun ulaşım/trafik ile mi yoksa genel belediyecilik hizmetleriyle mi ilgili olduğu netleşmiyor; şartname detayı olmadan kapsam belirsiz.";ayar
a29ac35c81cd26bae42a4c55de55a8d04aec62f2c1e86d06797b0925ded1e179;2025/2281136;Bursa Büyükşehir Belediyesi Bünyesinde Bulunan Millestone XProtect Kamera İzleme Yazılımı Güncellenmesi ve İlave Lisans Alımı İşi;BURSA BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI - İHALE ŞUBE MÜDÜRLÜĞÜ;BURSA;Mal;belirsiz;0.4;Görüntüleme ve İzleme Sistemleri (Kamera/CCTV);Kamera izleme yazılımı (VMS) güncellemesi teknik olarak İSBAK'ın görüntüleme sistemleri alanına giriyor, ama ilan metninde kameraların trafik mi yoksa genel bina/tesis güvenliği için mi kullanıldığı belirtilmemiş.;ayar
