tender_id;ikn;adi;idare_adi;il;ihale_turu;karar;model_karari;model_skoru;kaynak;set
b9ea824e8f80dd776158e2efcb857796d12c26bc1eea3d058fbbbfaa1ea2a5ee;2026/1048989;Muhtelif Yönlendirme ve Uyarı Levhası Alımı;İSTANBUL BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI SATIN ALMA DAİRESİ BAŞKANLIĞI SATIN ALMA ŞUBE MÜDÜRLÜĞÜ;İSTANBUL;Mal;uygun_degil;uygun;0.75;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
df23a9090d31f0350d57900af7cdbdc119438ad131efaf11641937bb82f2ad96;2026/71495;Yeşilli Belediye Başkanlığı Tarafından Yapılacak Olan 18 MW Gücünde GES işi Danışmalık Hizmet Alımı İhalesi;MALİ HİZMETLER MÜDÜRLÜĞÜ;MARDİN;Hizmet;uygun_degil;uygun;0.5188;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
2be2d8662fd2a6c1618c179c2cce46395e4370be390ca546e3da73cdc1b63d5c;2026/1185293;Teknofest 2026 Projeleri ve Bilim Etkinlikleri İçin Malzeme Alımı İşi;GAZİANTEP BÜYÜKŞEHİR BELEDİYE BAŞKANLIĞI;GAZİANTEP;Mal;uygun_degil;belirsiz;0.422;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
94aa6ee93a901d5474319444dd98165e4342014fdf8cce923484a97fe88dcd85;2026/1195044;Malabadi Tabiat Parkına Kamelya, Barbekü ve Piknik Masası Yapım İşi;DOĞA KORUMA VE MİLLİ PARKLAR GENEL MÜDÜRLÜĞÜ DOĞA KORUMA VE MİLLİ PARKLAR 15. BÖLGE MÜDÜRLÜĞÜ;MALATYA;Yapım;uygun_degil;belirsiz;0.4222;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
3675c53224f02048b9188af663e2996857e44c5caca1acda0a7a33df9918d25b;2026/1215734;2026-2027 Eğitim Öğretim Yılı Özel Eğitim Öğrencilerinin Taşınması;ÇANAKKALE İL MİLLİ EĞİTİM MÜDÜRLÜĞÜ BAYRAMİÇ İLÇE MİLLİ EĞİTİM MÜDÜRLÜĞÜ;ÇANAKKALE;Hizmet;uygun_degil;belirsiz;0.4572;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
7c31d1c1ab4f43863b945b0d67b69f0505a249378d48b0b73725c90d19207791;2026/1263203;Umke Araçları ve İl Ambulans Servisi Ambulanslarının Mekanik Bakım ve Tamir Hizmeti Alımı;EDİRNE İL SAĞLIK MÜDÜRLÜĞÜ;EDİRNE;Hizmet;uygun_degil;uygun;0.5708;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
05b461d09861680ddc4928c51efdb46296e57febb5d56415b9102b763d35cb65;2026/1234983;Çankaya Hizmet Merkezi Bilgi Teknolojileri Ekipmanları Alımı;TÜRKİYE İŞ KURUMU GENEL MÜDÜRLÜĞÜ DESTEK HİZMETLERİ DAİRESİ BAŞKANLIĞI;ANKARA;Mal;uygun_degil;belirsiz;0.467;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
fc50835d24e9def54eb650aa3c8cecf75c0ecc535fd957345c787f0d9b14c2b8;2026/1234208;ALİAĞA İLÇE STADINA 2000 SEYİRCİ KAPASİTELİ ÇELİK TRİBÜN, SAHANIN DOĞAL ÇİM YÜZEYİNİN YENİLENMESİ, 4' LÜ SOYUNMA ODASI, AYDINLATILMASI VE ÇEVRE DÜZENLENMESİ;İZMİR GENÇLİK VE SPOR İL MÜDÜRLÜĞÜ;İZMİR;Yapım;uygun_degil;belirsiz;0.423;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
920b59829e47e03d4485ce488d87f2ad4538ffa286e20d07463f57eaf709b4c4;2026/1211532;ÇİNE DEVLET HASTANESİ 5 AYLIK (AĞUSTOS-EYLÜL-EKİM-KASIM-ARALIK) ARAÇ KİRALAMA VE HEMODİYALİZ HASTA TAŞIMA HİZMET ALIMI;AYDIN İL SAĞLIK MÜDÜRLÜĞÜ AYDIN ÇİNE DEVLET HASTANESİ BAŞHEKİMLİĞİ;AYDIN;Hizmet;uygun_degil;belirsiz;0.433;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
731bf792a734565763449eda3e069b0c34cb64b11e8ea48490c7621507531047;2026/1109914;3 Kalem DNA Test Kiti Alım İşi;HAYVANCILIK GENEL MÜDÜRLÜĞÜ VETERİNER KONTROL MERKEZ ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ;ANKARA;Mal;uygun_degil;belirsiz;0.4464;triyaj/v6 yapay zeka etiketi (uc sinirda vaka insan onayi bekliyor);yanlis_alarm
